,name,url,score,description,city,latitude,longitude
96,L'élégance- Centre Historique- Confort- Netflix- Marché Frais et Local,https://www.booking.com/hotel/fr/elegance-centre-historique-confort-netflix-grenoble.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from_sustainable_property_sr=1&from=searchresults,8.9,"Right in the heart of Grenoble, L'élégance- Centre Historique- Confort- Netflix- Marché Frais et Local has lake views from the balcony. ",Grenoble,45.1916128,5.7293614
97,Le rendezvous au jardin des grenoblois,https://www.booking.com/hotel/fr/le-rendezvous-au-jardin-des-grenoblois.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.2,"Le rendezvous au jardin des grenoblois is located in the Grenoble City Centre district of Grenoble, 5.4 km from AlpExpo, 1.3 km from Alps Stadium and 2 km from The Bastille Grenoble. ",Grenoble,45.189773,5.7281059
98,Studio à la Gare&centre de Grenoble,https://www.booking.com/hotel/fr/studio-hypercentre-de-grenoble-renove-en-mai-2023.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.3,"Set in Grenoble, 100 metres from Grenoble Train Station and 500 metres from WTC Grenoble, Studio à la Gare&centre de Grenoble offers free WiFi and air conditioning. ",Grenoble,45.1919491,5.7153249
99,Maison Barbillon Grenoble,https://www.booking.com/hotel/fr/maison-barbillon-grenoble.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from_sustainable_property_sr=1&from=searchresults,8.3,"Maison Barbillon Grenoble is located in Grenoble, just 100 metres from the train station. It offers comfortable guest rooms with satellite TV and free WiFi Internet access. ",Grenoble,45.1907933,5.71669668
100,R'Apparts T2 Le Nature House,https://www.booking.com/hotel/fr/appartst2-express-lane-escape.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.7,"Situated in Grenoble, 300 metres from Grenoble Train Station and 600 metres from WTC Grenoble, R'Apparts T2 Le Nature House features quiet street views and free WiFi. ",Grenoble,45.1930555,5.7156243
101,"Très élégant duplex, proche Gare",https://www.booking.com/hotel/fr/tres-elegant-duplex-proche-gare.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,9.1,"Set in Grenoble, the recently renovated Très élégant duplex, proche Gare offers accommodation 400 metres from Grenoble Train Station and 700 metres from WTC Grenoble. ",Grenoble,45.18977941,5.7178893
102,François 1er au Manoir,https://www.booking.com/hotel/fr/francois-1er-au-manoir.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.9,"Set in Grenoble, 2.3 km from Grenoble Train Station and 2.7 km from WTC Grenoble, François 1er au Manoir offers air conditioning. ",Grenoble,45.175593,5.71373
103,"Le Grand Hôtel Grenoble, BW Premier Collection by Best Western",https://www.booking.com/hotel/fr/le-grand-grenoble-centre.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.4,"In the heart of the historic city centre of the Capital of the Alps, the Grand Hôtel de Grenoble **** BW Premier Collection is waiting to welcome you to an unforgettable experience. ",Grenoble,45.19081504,5.72854802
104,Le Boheme - Rent4night Grenoble,https://www.booking.com/hotel/fr/le-boheme-grenoble.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from_sustainable_property_sr=1&from=searchresults,8.5,"Situated in Grenoble, 3.4 km from Grenoble Train Station and 3.9 km from WTC Grenoble, Le Boheme - Rent4night Grenoble offers free WiFi and air conditioning. ",Grenoble,45.1856514,5.7438784
105,Jungle studio proche de la gare,https://www.booking.com/hotel/fr/jungle-studio-proche-de-la-gare-bloomy-appart.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.7,"Set in Grenoble, Jungle studio proche de la gare is a recently renovated accommodation, less than 1 km from WTC Grenoble and 6 km from AlpExpo. ",Grenoble,45.195096,5.7139079
